	vclaim	title
4182	Cinderella Castle in Walt Disney World in Orlando, Florida was constructed such that it can be partially or wholly disassembled in the event of a hurricane.	Are the Spires on Disney World’s Cinderella Castle Removable in Case of Hurricane?
7322	Photographs show a sandstorm in Iraq.	Sandstorm
1190	A Tennessee school district banned the American flag on campus.	Did a Tennessee School District Ban the American Flag?
5948	John Eisenhower, son of President Dwight D. Eisenhower, wrote a commentary explaining why he will be voting for John Kerry for president.	John Eisenhower on John Kerry
4303	Congressional Democrats attempted to implement Sharia law by enacting House Resolution 569, a condemnation of violence and bigotry against Muslims.	House Democrats Strike to Implement Sharia Law
258	"Clowns are planning a ""purge night"" on Halloween (or the night before)."	Clown Purge on Halloween
5144	Former NFL quarterback Kurt Warner married a woman who had two children, one a special needs child.	Kurt Warner
6615	Neil Armstrong cryptically uttered 'Good luck, Mr. Gorsky' as he first stepped onto the moon	Good Luck, Mr. Gorsky!
8161	Schools and other municipal agencies have been ordered to remove banners displaying the phrase ‘God Bless America.’	‘God Bless America’ Banner Removal
3115	Actor John Amos died from a heart attack on 28 December 2016.	Is John Amos Dead?
4089	Celebrity chef Guy Fieri has passed away at the age of 47.	Is Celebrity Chef Guy Fieri Dead?
7306	Photographs show a motorcyclist cut in half by a collision with a roadside pole.	Motorcycle Accident
3917	Bravecto brand Flea and tick remedy is dangerous to dogs.	BRAVECTO Flea and Tick Warning
5670	In 2018, White House Press Secretary Sarah Huckabee Sanders was listed as one of the 10 'most admired' women in the United States.	Was Sarah Huckabee Sanders Voted Among the ‘Most Admired’ Women in the United States?
3651	Article lists a variety of household uses for WD-40 brand spray lubricant.	Can WD-40 Really Do All That?
7659	President Lyndon B. Johnson sent a letter to the Smothers Brothers for making Americans laugh by mocking him on their show.	Did President Lyndon B. Johnson Applaud the Smothers Brothers for Mocking Him?
1260	A bill passed by the California legislature seeks to designate May 22 as Harvey Milk Day.	Harvey Milk Day
2336	A photograph shows snow walls lining a highway in Massachusetts.	Are These Towering Snow Walls in Massachusetts?
6769	On-line coupon can be redeemed for free movie rentals, popcorn, and sodas at Blockbuster outlets.	Blockbuster Coupon
1350	A comparison of four cases demonstrates a racial bias in tax-evasion prosecutions.	Does This Meme Demonstrate Racial Bias in Tax-Evasion Prosecutions?
476	Martha Stewart said she'd refuse to accept a pardon from President Donald Trump.	Did Martha Stewart Say She’d Refuse to Accept a Pardon from President Trump?
6420	Microsoft co-founder Bill Gates authored a list of 'Rules Kids Won't Learn in School.'	Some Rules Kids Won’t Learn in School
5573	Illinois governor-elect J.B. Pritzker and two other Democratic state legislators proposed a 'departing taxpayer fee.'	Did Illinois Lawmakers Propose a ‘Departing Taxpayer Fee’?
10002	Vice President Mike Pence said, 'What the American people need is not more health care. What we need is more Jesus care.'	Did Mike Pence Say Americans Need More ‘Jesus Care,’ Not Health Care?
3099	Actor Don Knotts once served as a drill instructor for the U.S. Marine Corps.	Don Knotts — Marine Drill Instructor?
8931	The Mississippi River is 'going dry' as it drains into a fault line.	Is the Mississippi River Going Dry?
3779	Barack Obama’s wedding ring bears an Arabic inscription reading “There is no god but Allah.”	Obama’s Wedding Ring
8624	Tennessee lawmakers passed a bill  approving a 'Hail Satan' license plate tag.	Are ‘Hail Satan’ License Plates Now Available in Tennessee?
8904	The KKK officially switched their presidential endorsement from Donald Trump to Hillary Clinton and donated $20,000 to the latter's campaign.	KKK Endorses Hillary Clinton
6325	Media giant Time Warner declined to renew CNN's contract.	Time Warner Cable Declines to Renew CNN’s Contract?
7144	Photograph shows an avalanche that occurred on Mt. Everest after the 2015 Nepal earthquake.	Nepal Avalanche
2970	A woman sued her ex-boyfriend for surreptitiously tattooing a pile of excrement on her back.	Did a Man Secretly Tattoo Excrement on His Ex-Girlfriend’s Back?
9154	The WEN hair care brand of cleansing conditioner causes hair loss.	WEN Hair Loss Lawsuit
7068	Photograph shows a half-black, half-tabby “chimera cat.”	Chimera Cat
8071	Ronald Reagan would have been unable to vote under current voter ID laws until 1991.	Ronald Reagan Couldn’t Vote Until 1991?
204	"An incoming ""record-breaking snowfall"" will blanket most of the U.S. this winter."	Meteorologists Predict Record-Shattering Snowfall Coming Soon
807	'Mob Wives' personality Big Ang died of cancer.	Big Ang of ‘Mob Wives’ Died?
440	JUULing, or use of a JUUL e-cigarette, has caused cancer in four students.	Has ‘JUULing’ Caused Cancer in High School and College Students?
1868	A particular college course of study was labeled 'the toughest' by the Guinness Book of World Records.	What Is the Toughest College Degree?
3030	AR-15 rifles were used to commit every major mass shooting in the United States since a 2012 attack in an Aurora, Colorado movie theater.	Were AR-15s Used in Every Major Mass Shooting in the United States After Aurora?
9410	The lyrics to the 1966 Batman TV series theme song were produced by brass instruments, not human voices.	How Was the ‘Batman’ TV Theme Created?
2922	A woman ate her grandchild after smoking bath salts.	Grandma Eats Her Daughter’s New Born Baby After Smoking Bath Salts
9575	The state of Michigan threatened local beavers with a $10,000 per day fine for failing to remove their dams.	Michigan Threatens Beavers Over Dams?
10181	Welfare queen decries New Orleans public housing.	Sharon Jasper Section 8 Public Housing
2790	A video shows a large cloud of pollen falling from a toppled tree.	Is This a ‘Pollen Cloud’ Falling from a Tree?
9476	The parents of murdered DNC staffer Seth Rich thanked 'the Internet' for spreading a debunked claim he had leaked thousands of e-mails to WikiLeaks.	Seth Rich’s Parents ‘Thank’ Internet for Spreading Rumor He Leaked Thousands of E-Mails to WikiLeaks?
9652	The ‘SBF’ in a personals ad turns out to be a female labrador retriever.	SBF Ad
2399	A picture shows Vice President Joe Biden groping Stephanie Carter, wife of former defense secretary Ash Carter, during a government ceremony.	Did Joe Biden Grope Stephanie Carter During a Government Ceremony?
6795	Oprah Winfrey and/or Tyler Perry are offering big-ticket Facebook giveaways.	Are Oprah Winfrey and Tyler Perry Holding Giveaways?
2928	A woman contracted breast cancer from carrying a cell phone in her bra.	Cell Phones in Bras Cause Breast Cancer?
3307	An 11-year-old Florida girl was depicted in a shocking photograph and forced to marry a much older man who raped her.	Was an 11-Year-Old Girl Forced to Marry Her Rapist in Florida?
1353	A competitor one-ups a company proud of their new ultra-thin wire by drilling a hole through it.	Urban Legend: Drilled Wire
3702	Atheists are petitioning the FCC to get religious broadcasting banned from American airwaves.	Petition to Ban Religious Broadcasting
1565	A human finger was found in a can of menudo.	Menudo Finger
6806	Oregon has become the first state to legalize the street drug Molly.	DId Oregon Become the First State to Legalize Molly?
1901	A photograph captures a deceased Marilyn Monroe at rest in her funeral casket.	Marilyn Monroe Funeral Photograph
5442	Hillary Clinton travels with a doctor carrying a Diazepam pen in case she has a seizure.	Clinton’s Secret Service Agent Holds Diazepam Pen
5783	In late 2018 or early 2019, a pattern of druggings and abductions took place in Arizona and Texas whereby human traffickers used breath mints	Did Texas and Arizona See a Spate of Sex Trafficking-Related ‘Breath Mint’ Druggings in 2019?
6392	Michael Jordan said that he wasn't going to sell any more shoes 'until black people unite.'	Michael Jordan Says ‘I Won’t Release Another Shoe Until Black People Unite’
5167	Former first daughter Malia Obama said white people will be 'blended out' of the population by the time she turns 30.	Did Malia Obama Say White People Will Be ‘Blended Out’?
202	"An image shows a redesign of the character ""Sonic"" for an upcoming movie."	Is This the ‘Sonic’ Character’s New Redesign?
7773	President Obama signed an order that made Ted Cruz ineligible for Obamacare.	Is Ted Cruz Ineligible for Obamacare?
3098	Actor Denzel Washington was killed in a drive-by shooting in New York.	Denzel Washington Death Hoax
4637	Donald Trump's campaign chief Steve Bannon said that injectable birth control makes women fat and prevents them from getting 'man meat' injections.	Steve Bannon’s Vulgar Quote About Birth Control?
7480	PlayJoltz and SmushGame are legitimate, free video or gaming services.	Are ‘PlayJoltz’ or ‘SmushGame’ Legitimate Free Streaming Services?
6832	PETA workers are stealing family pets and euthanizing them.	Is PETA Stealing and Killing Pets?
4320	Consumers are not obligated to pay back debt that creditors have written off and sold.	Are You Exempt from Paying Sold-Off Debt?
4596	Donald Trump said that the United States should build a fence around New Mexico.	Did Donald Trump Advocate “Build a Fence Around New Mexico”?
4657	Dr. Anne Wortham wrote “No He Can’t,” an editorial critical of Barack Obama.	Anne Wortham — No He Can’t
9481	The perpetrator of the Sutherland Springs shooting carried an Antifa flag and told churchgoers “this is a communist revolution.”	Was the Texas Church Shooter an Antifa Member Who Vowed to Start Civil War?
3291	American liberals are debating the merits of 'after birth abortion.'	After Birth Abortion
4912	Employees at Dunkin’ Donuts outlets desecrated American flags and celebrated the 9/11 terrorist attack on America.	Dunkin Donuts ‘Celebrating Employees’ Rumor
8052	Robbers are flinging eggs at cars to impair drivers’ vision and force them to stop.	Robbers Throwing Eggs at Cars
7351	Photographs show actresses Jennifer Aniston and Courteney Cox Arquette at a christening.	Jennifer Aniston & Courteney Cox Arquette
3562	An optical illusion allows a 3D arrow to appear as if it is always pointing in the same direction (with its mirror reflection showing the opposite direction), even when it is rotated 180 degrees.	Is This a Real Video of an Arrow That Always Points to the Right?
10144	Walt Disney was an illegitimate child, born out of wedlock to a woman from a town near Almeria in southern Spain and adopted by Flora and Elias Disney.	Walt Disney’s Illegitimate Birth?
8460	Stephanie Cegielski, Donald Trump's top strategist, wrote an open letter to the Republican candidate's supporters.	Stephanie Cegielski Was Not Donald Trump’s ‘Top Strategist’
725	Trump has spent 278.5 years of presidential salary funded by taxpayers on golf outings.	Has Trump Spent ‘278.5 Years’ of Salary on Taxpayer-Funded Golf Outings?
8464	Steve Bannon once described himself a 'Leninist' who wanted to destroy the state.	Did Steve Bannon Describe Himself as a ‘Leninist’ Who Wants to Destroy the State?
8829	The FBI’s “Department for Illegal Internet Downloads” is sending out automated warning messages via e-mail.	Sober.C Virus
1003	A California teen named Connor Reid Eckhardt was determined to have died after smoking a synthetic marijuana compound known as 'spice' or K2.	Connor Reid Eckhardt
8035	Retired CIA agent Normand Hodges confessed on his deathbed to assassinating Marilyn Monroe.	Retired CIA Agent Confesses on Deathbed: ‘I Killed Marilyn Monroe’
7849	President Trump's daughter Ivanka has been fired from her position at the White House.	Was Ivanka Trump Fired from the White House?
3380	An account describes Muslims' engaging in a 'dry run' hijacking on AirTran Flight 297.	Did a Dry Run Hijacking Take Place on Flight 297?
4704	Drummer Ginger Baker sodomized a burglar with his cane after catching him in his house.	Ginger Baker Beats Burglars Senseless, Sodomizes One With Walking Stick?
7916	Queen Elizabeth is so upset at public comments made by royal bride-to-be Meghan Markle that she has suspended or threatened to suspend Prince Harry's wedding.	Did Queen Elizabeth Suspend the Wedding of Prince Harry and Meghan Markle?
5227	Funeral Announcement	‘Funeral Announcement’ Malware
1398	A deceptive photograph shows a man perilously hanging by his feet from the edge of a high cliff.	Photograph of Cliff Hanger Isn’t Quite What It Seems
3135	Actor Norman Reedus has been fired from The Walking Dead after a disagreement with producers.	Norman Reedus Fired or Dead?
3823	Bernie Sanders flies coach while traveling for his presidential campaign.	Bernie Sanders Flies Coach?
1813	A new Facebook feature enabling users to report problems by shaking their phones has caused some users to be inadvertently reported for abuse and suspended.	Does Facebook Have ‘Shake-to-Report’ Feature That Lands Users in ‘Facebook Jail’?
2725	A video shows Meghan Markle and Prince Harry behaving oddly in an 'Britain's Got Talent' audience.	Are Meghan Markle and Prince Harry Robots?
3289	American intelligence has confirmed that President-elect Donald Trump was blackmailed by Russian operatives.	U.S. Intelligence Confirms Trump was Blackmailed by Russia?
4625	Donald Trump was not accused of sexual assault until he ran for President in 2016.	Did Sexual Assault Allegations Against Donald Trump Only Start With the 2016 Election?
9010	The Poltergeist film series is 'cursed' and has seen several strange deaths occur among its cast members.	Is the ‘Poltergeist’ Curse Real?
139	A video shows six Antifa members beating up an individual during an August 2018 alt-right protest in Washington D.C.	Does This Video Show Six Antifa Members Beating Up a Person During an August 2018 Rally?
6994	Photograph shows President Bush holding a telephone to his ear upside-down.	Phony Phone Call
7655	President Harry S. Truman in 1945 described political correctness as “a doctrine fostered by a delusional, illogical minority.”	Harry S. Truman on Political Correctness
3511	An image shows an advertisement for a real product called Johnson's Winking Glue.	Johnson’s Winking Glue
5100	Floyd Mayweather (or Manny Pacquiao) donated a sizable sum of money to Hurricane Harvey relief efforts.	Floyd Mayweather Jr. Donates a ‘Whopping Sum of Money’ to Houston After Hurricane?
3807	Ben Carson once said “if the Big Bang is merely a theory, if by chance it was true, how would you explain that the Earth didn't blow up during the explosion?”	Ben Carson Thinks the Earth Would Have Exploded During Big Bang
5104	Folding a $5 bill in a specific pattern will reveal a secret image of a stack of pancakes.	Secret Pancakes On $5 Bill
9220	The brand name ‘Aspirin’ was taken from the terms ‘acetylsalicylic acid’ and ‘spiraea ulmaria.’	Aspirin
8620	Temptations cat treats are causing renal failure in cats.	Temptations Cat Treats Facebook Warning
10013	Victoria’s Secret introduced a line of provocative lingerie for teenage girls.	Victoria’s Secret — Bright Young Things
5183	Four Christians in Philadelphia face a potential sentence of 47 years in prison for preaching in public.	Preaching in Public Protest
8074	Roofers mysteriously return to re-do a job that had been completed four years earlier.	A Mysterious Roofing Job
1320	A child successfully smuggled a penguin out of an amusement park by concealing the creature in his backpack.	Child Abducts Penguin in Backpack?
6670	News agency conducts online poll about Americans’ belief in God.	NBC Belief in God Poll
5628	In 1555 Nostradamus predicted that December 2000 would see “the village idiot will come forth to be acclaimed the leader in the home of greatest power.”	Nostradamus Prophecy
698	The number of ballots cast in Broward County in the 2018 general election was greater than the number of voters registered there.	Did Broward County Record More Votes Than Registered Voters in November 2018?
7490	Police assuaged the feelings of millennials protesting Donald Trump's victory by distributing participation trophies.	Police Calm Millennial Protesters by Handing out ‘Participation Trophies’?
368	Image depicts police in Danville, Virginia, purposely obstructing dash cams by lifting the hoods of their vehicles.	Are Police Allowed to ‘Pop Hoods’ to Block Dash Cams?
1874	A patron paid the restaurant tab for seven different families and left his server a $1,500 tip at a Denny's.	Today I Met an Angel
8517	Super Bowl quarterback was formerly a foreign soldier who could toss grenades well.	Grenade-Throwing Quarterback
10285	Worm Meat Used in McDonald’s Hamburgers?	Worm Meat Used in McDonald’s Hamburgers?
8976	The Nike sports apparel company owns the Chevrolet automobile brand.	Does Nike Own Chevrolet?
399	In June 2018, members of the United Methodist Church brought church charges, including child abuse, against Attorney General Jeff Sessions.	Did Methodists Bring Church Charges Against Jeff Sessions?
3744	Babysitter Nora Jackson was arrested in Florida for tying a baby to a ceiling fan for 26 hours.	Did a Babysitter Tie a One-Month-Old to a Ceiling Fan for 26 Hours?
8519	Supporters of Bernie Sanders shouted 'English only' at civil rights activist Dolores Huerta during one Nevada caucus event, ostensibly objecting to a translation of remarks into Spanish.	Bernie Sanders Supporters Chant ‘English Only’ at Dolores Huerta in Nevada?
7598	President Bill Clinton held up air traffic at Los Angeles International Airport in 1993 to get a $200 haircut on Air Force One.	Did Bill Clinton Hold Up LAX Air Traffic for a Haircut?
7883	Prize Bounty is giving away free Xbox systems.	Xbox Prize Bounty
686	The accused school shooter in Florida is a Dreamer, a DACA recipient, or undocumented.	Is the Florida High School Shooter a ‘Dreamer’?
2726	A video shows Muslims 'marching for Sharia law' in England.	Did Muslims March in Favor of Sharia Law in England?
2062	A photograph shows U.S. President Donald Trump touching the face of a wounded veteran who lost both of his arms because the president knew the man couldn't shake hands.	Did President Trump Touch the Face of a Veteran Who Lost Both Arms?
3921	Brewery employees discover the body of a worker in a vat of beer.	Body Found in Beer Vat
639	"The CBC cut a scene featuring Donald Trump from its December 2019 broadcast of the movie ""Home Alone 2"" for political reasons."	Was Donald Trump Cut from ‘Home Alone 2’ for Political Reasons?
1178	A Star Wars trading card was altered to depict the droid C-3P0 with an oversized penis.	Risqué ‘Star Wars’ C-3P0 Trading Card
5413	Hillary Clinton experienced a brief seizure while speaking on-camera in June 2016.	Hillary Clinton Has a Seizure on Camera?
410	In November 2018, Democratic U.S. Representative Eric Swalwell suggested launching nuclear weapons against gun-owners who refused to hand over or sell semi-automatic rifles to the U.S. government.	Did Democrat Rep. Eric Swalwell ‘Suggest Nuking’ Gun Owners Who Resist Confiscation?
8345	Sneezing seven times in a row is the same as an orgasm.	Sneeze Equals Orgasm
10166	We investigated a number of hoaxes, rumors, and conspiracy theories associated with a mass shooting in Sutherland Springs, Texas on 5 November 2017.	Sutherland Springs Shooting Rumors, Hoaxes, and Conspiracy Theories
9158	The Walt Disney Company is suing the U.S. Air Force over the design of a new space badge.	Disney Sues Air Force
313	Eighteen undocumented immigrant children died in the custody of U.S. Border Patrol during the Obama administration.	Did 18 Migrant Children Die in Border Patrol Custody During the Obama Administration?
425	"In talking to journalists, U.S. President Donald Trump used some notes to himself written in Sharpie pen that said, in part, ""I want nothing."""	Did Trump Use Notes To Self in Sharpie Pen That Said ‘I Want Nothing’?
2456	A recall has been issued for store-brand acetaminophen pills manufactured by Perrigo.	Acetaminophen Recall Alert
8506	Studies have shown that children who are vaccinated are 85% more likely to inject heroin than those who are not.	Childhood Vaccinations Lead to Heroin Use?
4874	Ed Trice successfully lobbied to have all standardized math tests in the country changed after his daughter's 'correct' answer to the question 'What's the largest number you can represent with 3 digits?' was marked wrong.	Viral Story on ‘The Largest Number You Can Represent with Three Digits’ Doesn’t Check Out
1956	A photograph show park ground in Australia covered with spider webs.	Does This Photograph Show a Park Covered with Spider Webs?
8526	Sweden has installed road signs to warn drivers about distracted walkers.	Signs Warning Drivers about Distracted Walkers Were Installed by Artists
3306	An 'illegal immigrant' was convicted of voter fraud for voting multiple times for Hillary Clinton.	Did an ‘Illegal’ Immigrant Brag About Voting Five Times for Hillary Clinton?
5606	Images of GOP lawmakers were featured during a Channel 1 Russia broadcast on recently lifted sanctions.	Did Russian State TV Thank GOP Lawmakers for Lifting Sanctions?
9996	Vice President Joe Biden once said that 'the Germans' bombed Pearl Harbor.	Did Joe Biden Misremember Who Attacked Pearl Harbor?
2320	A photograph shows moose enjoying a wading pool while watching a car burn.	Moose Enjoy Wading Pool, Watch Car Fire
1848	A newspaper photograph shows a pregnant, cigarette-smoking woman worrying about the effect of construction noise on her unborn child.	Pregnant Smoker Complains About Construction Noise?
2178	A photograph shows a man holding a 3-foot grasshopper.	Did a Man in Montana Catch a Three-Foot Long Grasshopper?
9449	The name of the Christian holy day known as 'Good Friday' derives from the term 'God's Friday.'	What’s Good About Good Friday?
2910	A white man who followed an African-American motorist to his home after a road rage incident and called him a racial slur has lost his business.	Did a Racist Who Followed a Black Man Home to Call Him a Racial Slur Have His Business Destroyed?
251	Children have been fined for operating lemonade stands without a permit, or ordered to obtain expensive permits.	Have Children Been Fined for Operating Lemonade Stands?
3267	Alleged Cascade Mall shooter Arcan Cetin voted in three elections despite not being a U.S. citizen.	Accused Cascade Mall Shooter Arcan Cetin Voted as a Non-Citizen?
3229	Al Sharpton owes more than four million dollars in unpaid taxes.	Does Al Sharpton Owe Millions in Back Taxes?
4222	Coca-Cola was originally green.	Coca-Cola Originally Green?
7905	Publix is giving away $75 and $80 grocery coupons to Facebook users.	Publix Coupons Facebook Scam
8878	The Home Depot web site includes no mention of Christmas.	Home Depot Christmas
8684	The A&E series ‘Duck Dynasty’ is being threatened by complaints about the show’s inclusion of prayer scenes and guns.	Duck Dynasty Prayer
7387	Photographs show four black bears cavorting on a backyard playset in Alaska.	Playground Bears
1180	A Swedish man died after having sex with hornet’s nest.	Swedish Man Dies After Having Sex with Hornet’s Nest
8926	The Michigan Department of Natural Resources has issued a warning about polar bears romaing that state from Canada.	Are Polar Bears Roaming Michigan?
1210	A U.S. serviceman in uniform was refused service at the Posh Bagel in Davis, California.	Posh Bagel Serviceman Refusal
6983	Photograph shows Michelle Obama at the Kids’ Choice Awards in expensive clothes paid for by taxpayers.	Michelle Obama at Kids’ Choice Awards
8014	Researchers have found a simple cure for cancer, but major pharmaceutical companies are not interested because it isn't patentable.	Did Scientists Cure Cancer, But No One Took Notice?
9927	U.S. pennies now cost considerably more than one cent each to manufacture.	Making Cents
9269	The crew of the USS Constitution ('Old Ironsides') consumed more than 250,000 gallons of liquor and no water at all during a six-month voyage in 1798.	Three Sheets to the Wind: The Rum-Soaked Voyage of the USS Constitution
1277	A boy is suing his parents for allowing him to be born with red hair.	Red-Haired Teen Sues His Parents for $2M for Being Born  “Ginger”
2522	A set of photos draws a realistic comparison between the rebuilt city of Hiroshima 65 years after it was destroyed by an atomic bomb and the present-day urban decay of Detroit after 65 years of governance by the Democratic Party.	Hiroshima vs. Detroit
282	Donald Trump and hundreds of his workers helped search the rubble for survivors after the September 11 terrorist attacks in Lower Manhattan.	Was Donald Trump at Ground Zero Searching for Survivors Two Days After 9/11 with Workers He Paid For?
6935	Peter Brabeck-Letmathe, a former chairman and CEO of Nestlé, said that water is not a human right.	Did the Chief Executive Officer of Nestlé Say Water Is Not a Human Right?
1177	A Spirit Airlines employee was rude to a soldier, charged him for a carry-on bag, and told his father that the airline 'doesn't cater to the military.'	Military Dis Account
6808	Orlando nightclub shooter Omar Mateen was a Democrat.	Orlando Shooter Was a Democrat?
9366	The group LGBT is adding a 'P' to their name in order to represent pedosexuals.	Is ‘LGBT’ Adding a ‘P’ for Pedosexuals?
388	"In December 1915, San Diego agreed to pay $10,000 to ""rainmaker"" Charles Hatfield to bring an end to the region's drought; over the next few weeks the city was inundated by rain and suffered one of the worst floods in its history."	Did San Diego Hire a ‘Rainmaker’ to End a Drought in 1916?
3321	An African American man living in the Boston area was shot by police officers following a dispute regarding a marijuana cigarette.	Boston Police Officer Kills Black Man Over Marijuana Cigarette
2277	A photograph shows an 'inflatable dam' holding back the flood waters surrounding a Texas home.	Was This House Saved from a Flood by an ‘Inflatable Dam?’
7188	Photograph shows the arrest of North Korean leader Kim Jong-un.	Has Kim Jong-un Been Arrested?
7124	Photograph shows a white supremacist activist surrounded by smiling blacks.	White Supremacist Surrounded by Blacks
8133	Sarah Palin said vaccinations were linked to homosexuality.	Sarah Palin: Vaccinations May Cause Homosexuality
7416	Photographs show the explosive destruction of the Space Shuttle Columbia.	Space Shuttle Columbia Explosion
2348	A photograph shows the colorful eye of Hurricane Dorian.	Is This the Eye of Hurricane Dorian?
4742	During an episode of Julia Child's television program, she dropped a turkey on the floor and then picked it up and put it back on the counter.	Did Julia Child Drop a Turkey on the Floor and Cook It Anyway?
8813	The FBI foiled a Muslim Brotherhood plot to take over the U.S.	Did Feds Just Raid a ‘Muslim’s House’ in Virginia and Uncover a Plan to Take Over America?
520	"Organizers working for billionaire George Soros ran Craigslist ads offering $300 each to individuals participating in the 24 March 2018 ""March for Our Lives"" protests."	Did George Soros Pay ‘March for Our Lives’ Protesters $300 Each?
9875	U.S. Rep. Alexandria Ocasio-Cortez tweeted about the difficulty of refueling gasoline-powered cars during hurricanes 'when the power is out.'	Did Alexandria Ocasio-Cortez Tweet About Electric Cars in Hurricanes?
9743	Tim Kaine said Caucasians must become a minority to atone for racism and oppression suffered by blacks.	Tim Kaine: ‘Whites Must Become a Minority’
1262	A bill signed by President Obama mistakenly ceded all of South Dakota to the Sioux.	Congress Accidentally Gives South Dakota Back to Sioux
4677	Dr. Walter Williams penned an opinion piece entitled “No Matter What,” about President Obama’a inevitable re-election.	Dr. Walter Williams – No Matter What
10162	We evaluate the claims made in a viral 2018 meme about the police shooting death of John Crawford III.	The Death of John Crawford III
4522	Donald Trump Jr. said 'let California burn' during an appearance on 'Tucker Carlson Tonight.'	Did Donald Trump Jr. Say ‘Let California Burn’ Because They Voted for Democrats?
10072	Video shows a seal being grabbed by a shark as it was being re-released into the ocean.	Snuffy the Seal Grabbed by Shark
9024	The Reverend Billy Graham issued a surprising statement in support of Donald Trump.	Did Billy Graham Issue a Stunning Statement on Donald Trump?
548	"Pranksters briefly changed California's iconic ""Hollywood"" sign to read ""Hollyweed."""	Was California’s Iconic ‘Hollywood’ Sign Altered to Read ‘Hollyweed’?
7534	Pope Francis said it's not necessary for one to believe in God in order to be a good person.	Did Pope Francis Say It’s Not Necessary to Believe in God?
8182	Sears pays the difference in salaries and maintains benefits for its called-up military reservist employees.	Sears Military Pay
1773	A message provides valid instructions for stopping strangers from seeing your activity on Facebook.	Facebook Privacy Warning
2454	A real-life tour guide for inner city children compiled their humorous observations for a blog called Ghetto Hikes.	Ghetto Hikes
1851	A nineteenth-century British man named Edward Mordrake (also spelled 'Mordake') was born with a rare medical condition in the form of a extra face on the back of his head.	Edward Mordrake, the Man with Two Faces
508	Nordstrom sells a rock in a leather pouch for $85, and a smaller version for $65.	Nordstrom is Selling a Rock in a Leather Pouch for $85
7876	Princess Cruises has ceased making stops in Israel.	Princess Cruises Boycotts Israel
213	Anyone bringing supplies to DAPL protesters at the Standing Rock Indian Reservation could be fined $1,000 for the attempt, according to the Morton County Sheriff's Department.	Fines for Bringing Supplies to Standing Rock DAPL Protests
1777	A military veteran and educator wrote an opinion piece arguing that the United States is in a modern Civil War.	Did a Professor Named Jack Minzey Write About ‘a Modern Civil War’?
8208	Sen. Kamala Harris lied about being in the second racially integrated class at Berkeley Public Schools.	Did Kamala Harris ‘Lie’ About Being in the Second Integrated Class in Berkeley?
618	Stephanie Grisham got DUIs in 2013 and 2015.	Did White House Press Secretary Stephanie Grisham Get Two DUIs, in 2013 and 2015?
4531	Donald Trump attended a hate group gathering 'snubbed' by former GOP candidates Mitt Romney and John McCain.	Did Donald Trump Meet with an Anti-Gay Hate Group Shunned by Other Candidates?
5571	Illegal loggers in the Amazon rainforest accidentally cut down the world’s oldest tree.	Loggers Accidentally Cut Down World’s Oldest Tree in Amazon Forest
1635	A little girl whose habit it was to hang her head out the school bus window was decapitated by a road sign.	Beheaded Child on Schoolbus
3509	An image shows an Asian giant hornet, a large insect with a potentially deadly sting.	Is This an Asian Giant Hornet?
7702	President Obama has ordered the phrase 'under God' to be removed from the Pledge of Allegiance.	President Obama Removes ‘God’ from Pledge of Allegiance?
4118	Charlie Daniels is the author of ‘An Open Letter to the Hollywood Bunch.’	Charlie Daniels ‘Open Letter to the Hollywood Bunch’
4079	Catholic priests may not conduct religious services on U.S. military bases during the federal government shutdown.	Catholic Services in Jeopardy During Government Shutdown
1588	A law student named John J. Wall penned a 'divorce letter' to the U.S.	U.S. ‘Divorce Agreement’ Letter
3870	Bill Nye “blasted” Rep. Todd Akin for accusing him of “personally provoking Hurricane Isaac.”	Bill Nye Blasts Todd Akin
7872	Prime Minister Justin Trudeau transferred control of the Canadian border to the United Nations.	Did Justin Trudeau Transfer Canadian Border Control to the United Nations?
4804	E-mail lists unpaid campaign debts incurred by Senator Joe Biden.	Joe Biden’s Unpaid Campaign Debt
9189	The animated film 'Incredibles 2' contains scenes that prompted an epilepsy warning at movie theaters.	Does ‘Incredibles 2’ Come With an Epilepsy Warning?
7932	Raggedy Ann dolls were created by a grief-stricken father who lost his daughter to a vaccine-related illness, and who wished to broadcast the risks of vaccination.	Was the Raggedy Ann Doll Modeled After a Child Killed by a Vaccine?
6638	New U.S. $10 bills released in 2006 contain a printing error.	$10 Bill Printing Error
616	Stacks of file folders presented as evidence that President-elect Donald Trump was turning his business holdings over to his children were empty and/or contained blank sheets of paper.	Trump Used Blank Sheets of Paper as Conflict-of-Interest Documents?
9654	The “Affordable Golf Club Act” requires all U.S. residents to purchase a new set of golf clubs before April 2014.	The Affordable Golf Club Act
5697	In December 2016, President Obama signed a bill criminalizing alternative media.	Did Obama Sign a Bill Making Alternative Media Illegal?
5545	ISIS militants fed a captured man’s remains to his distraught mother.	ISIS Tricks Mother Into Eating Son's Remains
5333	Great Value brand ice cream sandwiches sold by WalMart don’t melt.	WalMart Ice Cream Sandwiches Don't Melt?
3729	Authorities in Mexico have seized a massive shipment of cocaine headed towards a U.S. government facility.	Did Mexico Seize 800 Pounds of U.S. Government Cocaine?
7804	President Trump has issued an order banning the 'Saturday Night Live' television show.	Donald Trump Signs Executive Order Cancelling Saturday Night Live?
10040	Video clip shows a toddler playing with a cobra.	Baby Plays with Cobra
